"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","244","Attempt to retrieve a non-existing user","RegressAPITestSuite","Thu Jun 26 10:05:17 CEST 2025","passed","Thu Jun 26 10:05:18 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldReturnNonExistingSingleUser"
"","89","testCategory","Selenium Store Tests","Thu Jun 26 10:05:37 CEST 2025","passed","Thu Jun 26 10:05:37 CEST 2025","seleniumTests.tests.TestHomePage","UI Store tests","seleniumTests.tests.TestHomePage","testCategory"
"","2835","testPositiveLogin","Selenium Store Tests","Thu Jun 26 10:05:46 CEST 2025","passed","Thu Jun 26 10:05:49 CEST 2025","seleniumTests.tests.LoginTest","UI Store tests","seleniumTests.tests.LoginTest","testPositiveLogin"
"","234","Handle 404 for non-existing resource","RegressAPITestSuite","Thu Jun 26 10:05:00 CEST 2025","passed","Thu Jun 26 10:05:01 CEST 2025","restAssuredTests.regres.tests.TestResources","RegressAPI","restAssuredTests.regres.tests.TestResources","shouldReturnNonExistingResource"
"","202","Fail login when password is missing","RegressAPITestSuite","Thu Jun 26 10:05:16 CEST 2025","passed","Thu Jun 26 10:05:16 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldLoginUnsuccessfully"
"","6","Verify status code for users page 1","RegressAPITestSuite","Thu Jun 26 10:05:18 CEST 2025","passed","Thu Jun 26 10:05:18 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldReturnValidStatusForSpecificUserPage"
"","223","Fail to register a user without password","RegressAPITestSuite","Thu Jun 26 10:05:17 CEST 2025","passed","Thu Jun 26 10:05:17 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldRegisterUserUnsuccessfully"
"","6551","Measure response time on Production environment with link resolving","Response Times of SWS Tests","Thu Jun 26 10:05:53 CEST 2025","passed","Thu Jun 26 10:06:00 CEST 2025","restAssuredTests.responseTimes.tests.SWS_Response_Times","Measure the speed of SWS","restAssuredTests.responseTimes.tests.SWS_Response_Times","testProductionWithLInkResolving"
"","440","Measure response time on Test environment without link resolving","Response Times of SWS Tests","Thu Jun 26 10:05:53 CEST 2025","passed","Thu Jun 26 10:05:53 CEST 2025","restAssuredTests.responseTimes.tests.SWS_Response_Times","Measure the speed of SWS","restAssuredTests.responseTimes.tests.SWS_Response_Times","testFunctestWithoutLInkResolving"
"","859","Verify correct resource page number is returned","RegressAPITestSuite","Thu Jun 26 10:04:59 CEST 2025","passed","Thu Jun 26 10:05:00 CEST 2025","restAssuredTests.regres.tests.TestResources","RegressAPI","restAssuredTests.regres.tests.TestResources","shouldReturnCorrectResourcePage"
